Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,44.39153799,31.93215938,31.31130614,33.0689738,35.32893394,35.0922722,37.87790544,33.88696912,31.11060146,35.41942717,40.27284292,41.91867801,42.76759129,42.82345258,42.43024366,45.35943412,45.03781035,46.70153846,47.71012083,46.95412402,48.05768599,45.97035134,44.62060587,44.22862363,42.93098887,42.7123223,43.51442912,43.31834296,43.52454228,42.4960168,41.03291877,41.48739573,43.11533291,46.17653547,46.16306115,46.75054238,47.10424318,47.09904599,45.79763622,45.35986344,45.53610318,44.79341234,44.45056753,45.62278485,45.90021167,47.02257848,47.55739757,46.88416923,46.97117236,45.95714729,46.49783114,46.52928947,45.42298074,44.17670454,43.08556811,40.84133997,39.5806215,39.85169845,39.68701182,38.58740342,37.82091725,
China,CHN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,32.43316781,32.27298547,29.69368439,27.06881359,26.64126811,27.35870819,24.94308254,26.30698919,27.25187776,27.06146162,24.92871869,24.44543937,24.8119417,24.25078006,24.14329667,22.6879421,22.60590243,24.31076923,24.60446135,22.34259728,22.30837565,22.71406746,22.59369103,23.20325399,25.52931557,29.35332019,29.84707435,30.3607574,31.23777119,32.89243124,32.38277311,34.47853688,35.55580572,34.51599613,34.36265612,33.65293801,33.57027127,35.00567727,37.04332902,38.57534809,39.78765517,41.22312631,42.24794475,42.02821619,41.18314017,41.33592592,41.81684191,42.86966501,42.85977979,44.4066672,44.17699192,44.29305673,45.46330539,46.8804015,48.27094049,50.77164515,52.36209096,52.68473653,53.26996792,54.26890533,54.5260162,
China,CHN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,23.1752942,35.79485515,38.98640509,39.85420171,38.02979795,37.54901961,37.17901202,39.80604169,41.6432544,37.5191112,34.79843839,33.63181245,32.41654913,32.92576736,33.42645967,31.95262379,32.35963327,28.99076923,27.68541782,30.7032787,29.63393836,31.31558121,32.7857031,32.56812238,31.53969556,27.93435752,26.63849653,26.32089964,25.23768653,24.61155196,26.58430812,24.03406738,21.32886137,19.3074684,19.47428273,19.59651961,19.32548555,17.89527674,17.15903476,16.06478847,14.67624166,13.98346135,13.30148771,12.34899897,12.91664817,11.6414956,10.62576053,10.24616576,10.16904785,9.636185514,9.325176941,9.177653795,9.11371387,8.942893962,8.643491396,8.387014882,8.057287535,7.463565017,7.043020253,7.143691248,7.653066548,
