,Age,M,F
0,0-4,46500753,40381682
1,5-9,45082900,38691030
2,10-14,44454445,38671563
3,15-19,47219427,41837731
4,20-24,54968650,49934266
5,25-29,65942807,61943546
6,30-34,49720596,47157977
7,35-39,51587093,49051008
8,40-44,63551096,60897239
9,45-49,62029741,60375860
10,50-54,49017464,47239559
11,55-59,40770221,39687594
12,60-64,38754673,38504726
13,65-69,23664170,24208762
14,70-74,16106528,16704411
15,75-79,10994469,12625678
16,80-84,5695760,7815789
17,85-89,2111808,3411203
18,90-94,558252,1147908
19,95-99,111731,286795
20,100+,6781,30274
