,Age,M,F
0,0-4,51584383,48481727
1,5-9,33408326,30448275
2,10-14,29088521,25220183
3,15-19,28497749,24770500
4,20-24,26127255,22973197
5,25-29,22797329,20244132
6,30-34,21040397,19295247
7,35-39,20303124,18462748
8,40-44,17377194,16216692
9,45-49,14917314,14299413
10,50-54,12854799,12338089
11,55-59,10358312,10151681
12,60-64,8214718,8693640
13,65-69,5528375,6510887
14,70-74,3246863,4437595
15,75-79,1360230,2184783
16,80-84,518168,982296
17,85-89,95195,274010
18,90-94,13119,39328
19,95-99,2091,7429
20,100+,100,467
