,Age,M,F
0,0-4,45317964,39464821
1,5-9,47013929,41562855
2,10-14,55634496,50500117
3,15-19,66766299,62570995
4,20-24,50520697,47743547
5,25-29,52479011,49660315
6,30-34,64770386,61700129
7,35-39,63560712,61394813
8,40-44,50765865,48390779
9,45-49,43135089,41224040
10,50-54,42567347,40972877
11,55-59,28165727,27138277
12,60-64,22060890,20534806
13,65-69,19027076,18152681
14,70-74,13866501,14472620
15,75-79,7993652,9386723
16,80-84,3797809,5411498
17,85-89,1552416,2522730
18,90-94,350424,732255
19,95-99,50121,137724
20,100+,2445,11181
