,Age,M,F
0,0-4,50726829,47755536
1,5-9,47831505,45080056
2,10-14,33564731,31176033
3,15-19,28349199,24921790
4,20-24,27813335,24227914
5,25-29,25762988,22800634
6,30-34,22592940,19784351
7,35-39,20099275,18392463
8,40-44,19442224,17703577
9,45-49,16405185,15516566
10,50-54,13261504,13263260
11,55-59,10965548,11421953
12,60-64,7926664,8503930
13,65-69,5663741,6641910
14,70-74,3087016,4198067
15,75-79,1378245,2380491
16,80-84,365889,782499
17,85-89,100834,245442
18,90-94,15563,54783
19,95-99,1689,6173
20,100+,71,328
