,Age,M,F
0,0-4,55309956,51889506
1,5-9,38732544,36385236
2,10-14,29853166,26692512
3,15-19,28362372,24548398
4,20-24,27061167,23889840
5,25-29,24229294,21156756
6,30-34,21052171,19115116
7,35-39,20483299,18599844
8,40-44,18421590,16952004
9,45-49,15216872,14555718
10,50-54,13181589,13032807
11,55-59,10405998,10374058
12,60-64,8200568,8715112
13,65-69,5494247,6375689
14,70-74,3253845,4457858
15,75-79,1352916,2243664
16,80-84,439921,889185
17,85-89,100699,274298
18,90-94,11584,45442
19,95-99,1227,4668
20,100+,89,407
