,Age,M,F
0,0-4,52366875,49227644
1,5-9,64958712,61282503
2,10-14,67160955,64390579
3,15-19,55388171,52436685
4,20-24,45447771,42955050
5,25-29,47128738,44666519
6,30-34,33436245,31569844
7,35-39,26709635,23887152
8,40-44,25626642,22389813
9,45-49,23611616,20970701
10,50-54,20075359,17684959
11,55-59,16367595,15450080
12,60-64,14219735,13932151
13,65-69,10125302,11019942
14,70-74,5983889,7611304
15,75-79,3131339,4652753
16,80-84,1150706,1951725
17,85-89,311887,624533
18,90-94,48710,116082
19,95-99,4130,14108
20,100+,157,932
