,Age,M,F
0,0-4,49347874,46600253
1,5-9,60502488,56813818
2,10-14,68075839,64972977
3,15-19,60792666,57922297
4,20-24,47947157,45266771
5,25-29,47133475,44614841
6,30-34,39299445,37298253
7,35-39,28290606,25926258
8,40-44,25713993,22541930
9,45-49,24423977,21602680
10,50-54,21272138,18811016
11,55-59,17221121,15878093
12,60-64,14477156,14154031
13,65-69,11053177,11672877
14,70-74,6665393,8156111
15,75-79,3421185,4970811
16,80-84,1389513,2322136
17,85-89,384011,737415
18,90-94,74605,168283
19,95-99,8340,22538
20,100+,221,1220
