,Age,M,F
0,0-4,46437638,40500636
1,5-9,45436987,38976431
2,10-14,44264668,38373649
3,15-19,46554380,41121099
4,20-24,51864604,46729764
5,25-29,66864149,62590787
6,30-34,51711405,48999501
7,35-39,49705968,47266940
8,40-44,61857540,59110474
9,45-49,63435589,61773461
10,50-54,51414420,49666375
11,55-59,40972684,39852704
12,60-64,40173473,39907887
13,65-69,25506514,26217514
14,70-74,16608421,17360441
15,75-79,11127053,12847147
16,80-84,5816694,8076861
17,85-89,2143736,3544586
18,90-94,518058,1134237
19,95-99,86423,254931
20,100+,7600,34437
