,Age,M,F
0,0-4,48681088,43015470
1,5-9,47477552,42104373
2,10-14,63985790,59082351
3,15-19,59559156,56032504
4,20-24,49073661,46379389
5,25-29,58143663,54977592
6,30-34,66274091,63612227
7,35-39,58838491,56442001
8,40-44,46133945,43894005
9,45-49,44863699,42907360
10,50-54,36749280,35424766
11,55-59,25461328,24021469
12,60-64,21656926,19970965
13,65-69,18310284,17688606
14,70-74,12882919,13433438
15,75-79,7405735,8854383
16,80-84,3729990,5288051
17,85-89,1449193,2397581
18,90-94,308752,669622
19,95-99,41182,118318
20,100+,2017,9042
