,Age,M,F
0,0-4,45232654,39829315
1,5-9,62584972,57435004
2,10-14,63757211,59830615
3,15-19,49853099,47062386
4,20-24,55719280,52609592
5,25-29,66594789,63535924
6,30-34,62204835,59764894
7,35-39,49038783,46538433
8,40-44,44681958,42561831
9,45-49,41037367,39311409
10,50-54,27781691,26218935
11,55-59,23429127,21242400
12,60-64,21193757,19603634
13,65-69,16718720,16261767
14,70-74,11216535,11824281
15,75-79,6702436,8273706
16,80-84,3489701,4911381
17,85-89,1095897,1956722
18,90-94,219057,520018
19,95-99,33299,97536
20,100+,1422,5976
