,Age,M,F
0,0-4,47024075,41270142
1,5-9,46894481,41476951
2,10-14,59857650,54826624
3,15-19,63761127,59892760
4,20-24,49361332,46658244
5,25-29,55127284,52139309
6,30-34,65855152,62964191
7,35-39,61432503,59176925
8,40-44,48323059,45996986
9,45-49,43842620,41916770
10,50-54,39971389,38508168
11,55-59,26600426,25394540
12,60-64,21771431,20151467
13,65-69,18684610,17930213
14,70-74,13368670,13964052
15,75-79,7695301,9085651
16,80-84,3761311,5342044
17,85-89,1530336,2489492
18,90-94,341182,717069
19,95-99,49517,136139
20,100+,2223,10106
