,Age,M,F
0,0-4,52108882,48852928
1,5-9,49745519,46896926
2,10-14,44087691,41650421
3,15-19,30986713,28603781
4,20-24,27382574,23986301
5,25-29,26772884,23441448
6,30-34,24409489,21456183
7,35-39,21095866,18614782
8,40-44,19041054,17492237
9,45-49,17668602,16454377
10,50-54,14175487,14054587
11,55-59,10996351,11782948
12,60-64,8283889,9306265
13,65-69,5443993,6432808
14,70-74,3254850,4380305
15,75-79,1390941,2322603
16,80-84,438412,972290
17,85-89,72632,209825
18,90-94,15243,47919
19,95-99,1672,7080
20,100+,56,269
