,Age,M,F
0,0-4,65780433,62088957
1,5-9,47951416,45169126
2,10-14,47957815,45338165
3,15-19,40086638,37980824
4,20-24,29068931,26582705
5,25-29,26652006,23294487
6,30-34,25683053,22608676
7,35-39,23023849,20102235
8,40-44,19606887,17564124
9,45-49,17964639,16613502
10,50-54,15767718,15112935
11,55-59,11956966,12504801
12,60-64,8779901,10147740
13,65-69,5880745,7181512
14,70-74,3424057,4564538
15,75-79,1596743,2538880
16,80-84,498979,1048173
17,85-89,102319,293814
18,90-94,11856,42368
19,95-99,1714,6551
20,100+,62,336
