,Age,M,F
0,0-4,50051858,47192553
1,5-9,57391027,53907090
2,10-14,67461964,64132491
3,15-19,63313963,60561912
4,20-24,50097939,47306225
5,25-29,45922570,43457294
6,30-34,42567747,40399618
7,35-39,29415767,27311813
8,40-44,25710590,22649745
9,45-49,24726908,21779385
10,50-54,21831009,19426155
11,55-59,17789588,16169900
12,60-64,14520568,14211575
13,65-69,11513830,11994876
14,70-74,7044242,8478079
15,75-79,3549196,5108382
16,80-84,1477649,2482102
17,85-89,400800,765271
18,90-94,84983,185957
19,95-99,10393,26732
20,100+,263,1392
