,Age,M,F
0,0-4,45565774,39073481
1,5-9,44357884,38444848
2,10-14,46714332,41263155
3,15-19,52140173,46974733
4,20-24,67253626,62891111
5,25-29,52072594,49265227
6,30-34,50086834,47534857
7,35-39,62418022,59488495
8,40-44,64228982,62300888
9,45-49,52430521,50298020
10,50-54,42333000,40681210
11,55-59,42590052,41401388
12,60-64,28415407,28062025
13,65-69,20224519,19662485
14,70-74,15743094,15998440
15,75-79,9933028,11674464
16,80-84,4726673,6473183
17,85-89,1680158,2813646
18,90-94,435711,911081
19,95-99,59289,165210
20,100+,4346,18638
