,Age,M,F
0,0-4,70542115,65398064
1,5-9,55286430,51959459
2,10-14,50151902,47269611
3,15-19,61781288,58273372
4,20-24,67061359,64314175
5,25-29,57121228,54330176
6,30-34,45487921,43054238
7,35-39,46712472,44346363
8,40-44,35142174,33441110
9,45-49,26464158,24095766
10,50-54,24413639,21595928
11,55-59,22138966,20082759
12,60-64,18009946,16504464
13,65-69,13313109,13257267
14,70-74,9864824,10653462
15,75-79,5595579,7058351
16,80-84,2211848,3535579
17,85-89,642231,1311633
18,90-94,121864,296327
19,95-99,14069,38408
20,100+,747,2895
