,Age,M,F
0,0-4,69402971,66328638
1,5-9,56156481,53081152
2,10-14,46011735,43429752
3,15-19,47856207,45290224
4,20-24,34097031,32136409
5,25-29,27340206,24407984
6,30-34,26390151,23003611
7,35-39,24583779,21742011
8,40-44,21412175,18638142
9,45-49,18203789,16723256
10,50-54,16951540,15821541
11,55-59,13600675,13575172
12,60-64,9621712,10776320
13,65-69,6643389,8306708
14,70-74,3818211,5099875
15,75-79,1908609,2915838
16,80-84,618845,1160136
17,85-89,132770,345148
18,90-94,13867,48466
19,95-99,1237,5098
20,100+,76,448
