,Age,M,F
0,0-4,50115435,47186883
1,5-9,49895138,47005601
2,10-14,35521377,33264529
3,15-19,28667181,25452956
4,20-24,27801040,24191227
5,25-29,26096434,23130394
6,30-34,23082592,20107692
7,35-39,20150071,18363669
8,40-44,19542927,17766213
9,45-49,16777809,15785361
10,50-54,13428915,13404331
11,55-59,11084421,11670562
12,60-64,7936009,8620071
13,65-69,5625923,6643429
14,70-74,3042315,4178354
15,75-79,1268061,2306925
16,80-84,297933,714029
17,85-89,59576,177893
18,90-94,8045,32637
19,95-99,641,3083
20,100+,65,305
