,Age,M,F
0,0-4,57613414,54057124
1,5-9,50162623,47232016
2,10-14,62259761,58674722
3,15-19,67623066,64792170
4,20-24,57665816,54788366
5,25-29,45969773,43459945
6,30-34,47285125,44821087
7,35-39,35688179,33870137
8,40-44,27022866,24500222
9,45-49,25192180,22115092
10,50-54,23274402,20813944
11,55-59,19598115,17516006
12,60-64,15312326,14670564
13,65-69,12429223,12658909
14,70-74,8258531,9474166
15,75-79,4177848,5747346
16,80-84,1694539,2854977
17,85-89,473571,942661
18,90-94,87162,198835
19,95-99,9754,25247
20,100+,414,1881
