,Age,M,F
0,0-4,61612614,57725157
1,5-9,49637828,46741747
2,10-14,59403881,55936164
3,15-19,67752385,64711874
4,20-24,60361949,57571983
5,25-29,47555086,44943095
6,30-34,46694543,44244036
7,35-39,38861573,36936947
8,40-44,27876010,25610565
9,45-49,25189068,22171733
10,50-54,23656565,21086330
11,55-59,20175929,18108211
12,60-64,15781765,14903179
13,65-69,12519065,12730909
14,70-74,8672475,9759781
15,75-79,4440882,6000224
16,80-84,1787257,2977583
17,85-89,533193,1052662
18,90-94,98529,222084
19,95-99,13943,34174
20,100+,471,2025
