,Age,M,F
0,0-4,54338183,50999445
1,5-9,66772884,63256885
2,10-14,65713206,62957867
3,15-19,52873785,49952266
4,20-24,45393893,42923340
5,25-29,45578296,43216742
6,30-34,31331738,29374210
7,35-39,26262389,23262791
8,40-44,25484069,22291108
9,45-49,23124255,20511116
10,50-54,19448203,17229949
11,55-59,16085904,15291788
12,60-64,13879317,13694411
13,65-69,9621349,10640778
14,70-74,5674968,7339790
15,75-79,3001531,4458312
16,80-84,1120052,1856896
17,85-89,328498,631320
18,90-94,55404,128223
19,95-99,6304,19778
20,100+,137,832
