,Age,M,F
0,0-4,49992605,47167490
1,5-9,63100818,59342302
2,10-14,68036866,65127794
3,15-19,58095634,55141138
4,20-24,46360829,43786992
5,25-29,47743058,45212881
6,30-34,36105045,34218239
7,35-39,27435593,24815480
8,40-44,25729548,22495902
9,45-49,24056796,21345798
10,50-54,20689423,18218106
11,55-59,16741579,15647507
12,60-64,14408211,14078018
13,65-69,10584115,11345774
14,70-74,6312886,7869192
15,75-79,3291424,4830858
16,80-84,1276869,2139736
17,85-89,354949,692945
18,90-94,61680,143939
19,95-99,5710,17234
20,100+,185,1063
