,Age,M,F
0,0-4,59968378,56017280
1,5-9,68948926,65938138
2,10-14,60948060,58053231
3,15-19,48157748,45482489
4,20-24,47395678,44888424
5,25-29,39575870,37577079
6,30-34,28558080,26170728
7,35-39,26052037,22820037
8,40-44,24914828,21976435
9,45-49,21989513,19306979
10,50-54,18206559,16556071
11,55-59,15915519,15156465
12,60-64,12939796,13073350
13,65-69,8652777,9921337
14,70-74,5244631,6971311
15,75-79,2697615,3974954
16,80-84,1055555,1726364
17,85-89,299777,576983
18,90-94,44667,116185
19,95-99,4794,15809
20,100+,115,698
