,Age,M,F
0,0-4,46416760,39946907
1,5-9,44413913,38269418
2,10-14,45412632,39814700
3,15-19,48470764,43173244
4,20-24,63287168,58514124
5,25-29,58899621,55567842
6,30-34,48367782,45906077
7,35-39,57269145,54440137
8,40-44,65119392,62907040
9,45-49,57479915,55583005
10,50-54,44617814,42908214
11,55-59,42409898,41303991
12,60-64,33448924,33246862
13,65-69,21397833,21383286
14,70-74,15765016,16149143
15,75-79,10544857,12162532
16,80-84,5309074,7168840
17,85-89,1966176,3170290
18,90-94,539363,1089038
19,95-99,95172,241559
20,100+,5412,23528
