,Age,M,F
0,0-4,54479675,51121233
1,5-9,41541905,39159109
2,10-14,30759796,27872927
3,15-19,28243341,24518083
4,20-24,27349085,24042147
5,25-29,24742667,21678119
6,30-34,21445286,19240007
7,35-39,20319776,18519260
8,40-44,18783636,17224867
9,45-49,15541234,14829697
10,50-54,13157040,13099781
11,55-59,10549278,10669693
12,60-64,8083957,8588669
13,65-69,5560638,6461832
14,70-74,3202998,4357070
15,75-79,1414603,2330410
16,80-84,434632,878215
17,85-89,113765,286483
18,90-94,14206,54619
19,95-99,1610,5836
20,100+,83,380
