,Age,M,F
0,0-4,56939525,53285554
1,5-9,68228617,64972074
2,10-14,63532115,60718823
3,15-19,50380832,47563628
4,20-24,46230831,43747869
5,25-29,42908634,40720144
6,30-34,29723507,27581541
7,35-39,26073743,22936657
8,40-44,25243326,22161641
9,45-49,22576505,19937913
10,50-54,18810111,16854354
11,55-59,15956469,15205108
12,60-64,13441958,13402667
13,65-69,9126691,10270440
14,70-74,5433595,7132176
15,75-79,2857303,4230810
16,80-84,1090690,1785466
17,85-89,323487,615344
18,90-94,52097,126382
19,95-99,6250,19685
20,100+,124,755
