,Age,M,F
0,0-4,45618709,40292964
1,5-9,46220512,39943566
2,10-14,44718792,38426066
3,15-19,44682603,39029878
4,20-24,47509883,42211552
5,25-29,58727727,53894659
6,30-34,62640869,59083413
7,35-39,48264226,45892206
8,40-44,53781444,51258326
9,45-49,63910330,61725191
10,50-54,58900831,57569816
11,55-59,45296934,44090425
12,60-64,39115103,38929869
13,65-69,32970472,34001830
14,70-74,18538987,20140683
15,75-79,11554656,13329825
16,80-84,6656302,8871835
17,85-89,2690359,4388711
18,90-94,729890,1465660
19,95-99,138507,373275
20,100+,10647,50256
