,Age,M,F
0,0-4,67901084,62584410
1,5-9,58371813,54776159
2,10-14,49795738,46941563
3,15-19,58894392,55509938
4,20-24,67244957,64295179
5,25-29,59842190,57146046
6,30-34,47095859,44568952
7,35-39,46160421,43818749
8,40-44,38305950,36508872
9,45-49,27318997,25210709
10,50-54,24418410,21672151
11,55-59,22502718,20357758
12,60-64,18546578,17085747
13,65-69,13697420,13482828
14,70-74,9876849,10726877
15,75-79,5924733,7325034
16,80-84,2406033,3739355
17,85-89,695540,1401345
18,90-94,143742,344110
19,95-99,18596,49361
20,100+,830,3250
