,Age,M,F
0,0-4,68441759,65277959
1,5-9,53473581,50434635
2,10-14,46005317,43442741
3,15-19,46240625,43778130
4,20-24,31937303,29888849
5,25-29,26877087,23766634
6,30-34,26253373,22913429
7,35-39,24119131,21298547
8,40-44,20814009,18206224
9,45-49,17996848,16627819
10,50-54,16665884,15651899
11,55-59,13050904,13226941
12,60-64,9258231,10514697
13,65-69,6413781,7989558
14,70-74,3664974,4851004
15,75-79,1833619,2810724
16,80-84,581594,1123755
17,85-89,130095,347061
18,90-94,15813,51206
19,95-99,2039,7678
20,100+,71,412
