,Age,M,F
0,0-4,46811134,41326878
1,5-9,57094277,51895904
2,10-14,66830446,62577739
3,15-19,50879940,48012650
4,20-24,52898312,49961102
5,25-29,65304064,62061671
6,30-34,64161934,61796169
7,35-39,51362704,48797052
8,40-44,43803735,41707984
9,45-49,43530876,41677517
10,50-54,29265036,27905342
11,55-59,23592046,21549171
12,60-64,21425164,19740091
13,65-69,17195710,16775068
14,70-74,11621321,12165082
15,75-79,6747216,8375142
16,80-84,3563957,5037990
17,85-89,1145402,2017887
18,90-94,228358,531239
19,95-99,33564,99855
20,100+,1543,6561
