,Age,M,F
0,0-4,62972535,59160449
1,5-9,46627542,43923802
2,10-14,48542470,45891644
3,15-19,36931392,34926980
4,20-24,28261506,25502620
5,25-29,26753569,23316992
6,30-34,25392477,22425461
7,35-39,22520541,19566752
8,40-44,19198088,17409885
9,45-49,18012351,16653032
10,50-54,15303846,14843831
11,55-59,11522122,12219289
12,60-64,8622168,9992308
13,65-69,5632303,6805460
14,70-74,3316539,4483022
15,75-79,1455992,2397213
16,80-84,450544,993248
17,85-89,83704,248644
18,90-94,10111,38028
19,95-99,1199,4864
20,100+,59,305
