,Age,M,F
0,0-4,62527829,57171501
1,5-9,62240090,58302776
2,10-14,50200832,47327877
3,15-19,55917303,52714467
4,20-24,66896221,63705992
5,25-29,62547011,59966982
6,30-34,49382476,46747410
7,35-39,45135190,42842617
8,40-44,41652359,39702091
9,45-49,28513017,26662548
10,50-54,24510032,21864452
11,55-59,22877190,20617794
12,60-64,19133841,17741758
13,65-69,14203928,13807960
14,70-74,9912213,10828973
15,75-79,6221839,7599662
16,80-84,2577358,3939258
17,85-89,734478,1462039
18,90-94,160833,381509
19,95-99,22175,58600
20,100+,921,3657
