,Age,M,F
0,0-4,52485802,49328690
1,5-9,44786273,42242497
2,10-14,32004989,29388859
3,15-19,28228918,24630113
4,20-24,27648002,24177549
5,25-29,25294645,22286488
6,30-34,22016928,19486367
7,35-39,20173740,18451104
8,40-44,19169266,17509714
9,45-49,15974882,15182557
10,50-54,13176917,13169467
11,55-59,10771237,11064722
12,60-64,7983279,8502108
13,65-69,5636067,6575089
14,70-74,3142017,4260337
15,75-79,1429755,2388032
16,80-84,409126,839051
17,85-89,116641,279589
18,90-94,16349,59573
19,95-99,1888,6720
20,100+,77,353
