,Age,M,F
0,0-4,48889934,43295496
1,5-9,49365101,44046101
2,10-14,66860425,62121134
3,15-19,55634590,52402660
4,20-24,49634510,46895957
5,25-29,61063276,57772446
6,30-34,66158852,63682441
7,35-39,56217682,53698602
8,40-44,44593435,42432435
9,45-49,45430388,43463280
10,50-54,33699313,32455798
11,55-59,24643948,22970384
12,60-64,21635241,19909745
13,65-69,17971886,17457915
14,70-74,12455752,12970691
15,75-79,7134153,8685509
16,80-84,3674183,5229171
17,85-89,1320564,2247517
18,90-94,267409,604995
19,95-99,30862,96051
20,100+,1838,8077
