,Age,M,F
0,0-4,44189481,38848896
1,5-9,67004679,61950526
2,10-14,59875176,56280095
3,15-19,49763563,46980807
4,20-24,59008065,55712310
5,25-29,67306691,64481872
6,30-34,59837726,57268621
7,35-39,47022210,44616214
8,40-44,45940138,43774026
9,45-49,37936918,36344666
10,50-54,26760740,24924995
11,55-59,23462786,21166262
12,60-64,20932408,19451728
13,65-69,16265095,15726112
14,70-74,10870420,11583216
15,75-79,6711739,8227166
16,80-84,3332229,4747355
17,85-89,1023399,1867874
18,90-94,196995,486797
19,95-99,27363,81869
20,100+,1315,5473
