,Age,M,F
0,0-4,67968967,63446814
1,5-9,51602143,48577048
2,10-14,53479613,50379713
3,15-19,66074761,62602996
4,20-24,65045863,62425515
5,25-29,52201844,49391460
6,30-34,44726124,42349304
7,35-39,44785490,42536005
8,40-44,30603293,28792009
9,45-49,25423772,22649519
10,50-54,24265433,21452489
11,55-59,21322985,19330467
12,60-64,16952950,15600916
13,65-69,12779253,12935027
14,70-74,9490277,10336563
15,75-79,4979441,6536725
16,80-84,1926065,3199856
17,85-89,586892,1176590
18,90-94,111498,250136
19,95-99,16914,41694
20,100+,600,2369
