,Age,M,F
0,0-4,66088242,62256076
1,5-9,67624760,64772484
2,10-14,55640913,52644002
3,15-19,45681410,43166282
4,20-24,47430209,44947308
5,25-29,33712124,31819394
6,30-34,26985927,24120781
7,35-39,25988365,22677456
8,40-44,24106750,21337672
9,45-49,20787702,18173452
10,50-54,17345536,16131005
11,55-59,15677617,14952277
12,60-64,11940338,12400940
13,65-69,7840307,9340756
14,70-74,4886376,6621533
15,75-79,2376258,3483906
16,80-84,930364,1559929
17,85-89,216837,449250
18,90-94,29853,86298
19,95-99,1841,7646
20,100+,104,609
