,Age,M,F
0,0-4,48200263,45387928
1,5-9,51416888,48445594
2,10-14,38163836,35924059
3,15-19,29352453,26365349
4,20-24,27838104,24218932
5,25-29,26493976,23431502
6,30-34,23648970,20585551
7,35-39,20411236,18467730
8,40-44,19556270,17821475
9,45-49,17152926,16093994
10,50-54,13658328,13621269
11,55-59,11133544,11806180
12,60-64,8051500,8804205
13,65-69,5624341,6633019
14,70-74,3153682,4263887
15,75-79,1354238,2365174
16,80-84,361401,826968
17,85-89,66120,198160
18,90-94,9965,38475
19,95-99,867,3993
20,100+,61,288
