,Age,M,F
0,0-4,68092757,64385587
1,5-9,66021159,63118846
2,10-14,53135824,50189215
3,15-19,45635754,43146116
4,20-24,45883619,43500010
5,25-29,31607073,29621437
6,30-34,26549485,23505206
7,35-39,25860949,22594188
8,40-44,23638033,20898395
9,45-49,20176746,17736719
10,50-54,17112382,16005725
11,55-59,15382344,14750936
12,60-64,11434912,12046330
13,65-69,7511240,9076224
14,70-74,4687109,6342548
15,75-79,2272146,3306057
16,80-84,909571,1528213
17,85-89,210082,445085
18,90-94,34177,98116
19,95-99,2849,10372
20,100+,98,572
