,Age,M,F
0,0-4,51669160,48614535
1,5-9,54256290,51030484
2,10-14,66322001,62800317
3,15-19,65409303,62723971
4,20-24,52552405,49679061
5,25-29,45074116,42641741
6,30-34,45203495,42881347
7,35-39,31002950,29093344
8,40-44,25892523,22978703
9,45-49,24967142,21918700
10,50-54,22369845,19996337
11,55-59,18409567,16551174
12,60-64,14665307,14317807
13,65-69,11926955,12294936
14,70-74,7450451,8831902
15,75-79,3708881,5281372
16,80-84,1536047,2606623
17,85-89,407823,790291
18,90-94,87380,188598
19,95-99,10433,26781
20,100+,309,1565
