,Age,M,F
0,0-4,67399598,63981663
1,5-9,50435832,47521160
2,10-14,46877352,44295223
3,15-19,43481459,41191930
4,20-24,30269085,28035647
5,25-29,26669938,23418009
6,30-34,26004733,22782857
7,35-39,23584647,20726361
8,40-44,20187903,17842088
9,45-49,17935138,16598754
10,50-54,16254926,15405333
11,55-59,12489125,12859976
12,60-64,8982624,10311310
13,65-69,6155234,7602754
14,70-74,3535427,4676054
15,75-79,1728467,2683885
16,80-84,541566,1088909
17,85-89,118787,328385
18,90-94,14336,47858
19,95-99,2100,7842
20,100+,66,374
