,Age,M,F
0,0-4,70468625,67305850
1,5-9,61283234,58176546
2,10-14,48407567,45668447
3,15-19,47676219,45086013
4,20-24,39883971,37807653
5,25-29,28840154,26384874
6,30-34,26369690,23058147
7,35-39,25317714,22287203
8,40-44,22540492,19702717
9,45-49,18967057,17071100
10,50-54,17054150,15922186
11,55-59,14520188,14172427
12,60-64,10438001,11333291
13,65-69,7047582,8694437
14,70-74,4237051,5671594
15,75-79,2104620,3096784
16,80-84,795861,1381412
17,85-89,179911,415564
18,90-94,24919,81460
19,95-99,2282,8373
20,100+,87,509
