,Age,M,F
0,0-4,69606563,66161182
1,5-9,63814636,60802746
2,10-14,50648467,47799387
3,15-19,46491296,43964768
4,20-24,43217718,40982457
5,25-29,30002240,27814779
6,30-34,26376160,23179503
7,35-39,25634812,22470917
8,40-44,23110323,20333811
9,45-49,19553793,17368211
10,50-54,17039046,15947035
11,55-59,14986422,14484422
12,60-64,10928870,11685165
13,65-69,7254429,8868267
14,70-74,4468311,6018067
15,75-79,2184568,3182185
16,80-84,865085,1470228
17,85-89,196631,433362
18,90-94,31240,94576
19,95-99,2851,10208
20,100+,92,539
