,Age,M,F
0,0-4,44456332,39476105
1,5-9,46320144,40415039
2,10-14,45349923,38912828
3,15-19,44103122,38238737
4,20-24,46273865,40884302
5,25-29,51522843,46466160
6,30-34,66443228,62295742
7,35-39,51345507,48745948
8,40-44,49289359,46984787
9,45-49,61173349,58664268
10,50-54,62348020,61097362
11,55-59,49958045,48782446
12,60-64,38917285,38596854
13,65-69,36526788,37622978
14,70-74,21425163,23524526
15,75-79,12207276,14337340
16,80-84,6883629,9297788
17,85-89,2843084,4738693
18,90-94,731228,1573796
19,95-99,116377,358816
20,100+,12773,61919
