,Age,M,F
0,0-4,44566659,38180282
1,5-9,45201653,39490185
2,10-14,47927807,42552312
3,15-19,59428849,54443271
4,20-24,63470641,59688011
5,25-29,49023329,46428804
6,30-34,54732593,51896873
7,35-39,65345392,62662519
8,40-44,60837759,58805499
9,45-49,47687007,45573666
10,50-54,42939232,41304217
11,55-59,38652787,37615712
12,60-64,24994982,24328692
13,65-69,19419439,18628839
14,70-74,15191762,15564601
15,75-79,9379642,10934983
16,80-84,4452865,6027252
17,85-89,1684012,2775202
18,90-94,494208,948329
19,95-99,76858,193819
20,100+,3542,15394
