,Age,M,F
0,0-4,45158962,38693389
1,5-9,44678571,38864036
2,10-14,47378448,41971440
3,15-19,55272421,50190154
4,20-24,66356075,62256064
5,25-29,50099398,47433536
6,30-34,52013362,49344466
7,35-39,64168603,61308786
8,40-44,62855123,60920572
9,45-49,50026461,47874555
10,50-54,42203076,40577005
11,55-59,41120853,39989716
12,60-64,26453885,25989676
13,65-69,19686804,18997973
14,70-74,15478425,15775576
15,75-79,9663818,11323034
16,80-84,4595694,6225926
17,85-89,1689756,2795977
18,90-94,489142,953192
19,95-99,77524,197208
20,100+,3911,16817
