,Age,M,F
0,0-4,48172839,45239319
1,5-9,32265211,28996799
2,10-14,29330881,25289030
3,15-19,28420579,24830332
4,20-24,25764087,22530196
5,25-29,22381706,20148812
6,30-34,21358746,19509231
7,35-39,20059708,18320735
8,40-44,17071790,16013579
9,45-49,15023744,14352187
10,50-54,12630740,11963623
11,55-59,10518219,10324847
12,60-64,8146240,8616049
13,65-69,5619506,6678501
14,70-74,3162856,4315750
15,75-79,1412008,2233175
16,80-84,500867,979045
17,85-89,86915,252336
18,90-94,11296,36202
19,95-99,1787,6457
20,100+,99,468
