,Age,M,F
0,0-4,56947053,51596932
1,5-9,65939926,61641783
2,10-14,51259303,48317380
3,15-19,53258917,50233810
4,20-24,65809330,62437434
5,25-29,64719746,62211400
6,30-34,51884888,49177900
7,35-39,44379956,42118810
8,40-44,44311316,42226404
9,45-49,30115749,28464687
10,50-54,24746698,22235821
11,55-59,23161571,20812727
12,60-64,19685784,18333860
13,65-69,14751907,14205495
14,70-74,10032076,10972641
15,75-79,6429448,7837424
16,80-84,2720753,4124425
17,85-89,764373,1507380
18,90-94,163441,394379
19,95-99,21909,60088
20,100+,1014,4086
