,Age,M,F
0,0-4,43675001,40888244
1,5-9,31404724,27851870
2,10-14,29572392,25416899
3,15-19,28258411,24789479
4,20-24,25345058,22098611
5,25-29,22067657,20116320
6,30-34,21617993,19672207
7,35-39,19769308,18145288
8,40-44,16831130,15844383
9,45-49,15099065,14334081
10,50-54,12441577,11641329
11,55-59,10687714,10514911
12,60-64,8085875,8578665
13,65-69,5683337,6811251
14,70-74,3054712,4182430
15,75-79,1436957,2264684
16,80-84,450541,934854
17,85-89,75360,216141
18,90-94,9737,34068
19,95-99,1322,4974
20,100+,94,454
