,Age,M,F
0,0-4,63091674,59048601
1,5-9,68737525,65870035
2,10-14,58271677,55312152
3,15-19,46537616,43976349
4,20-24,47983957,45471802
5,25-29,36348056,34465095
6,30-34,27682463,25041876
7,35-39,26057739,22769280
8,40-44,24530789,21708592
9,45-49,21388662,18702199
10,50-54,17705494,16320045
11,55-59,15849193,15086691
12,60-64,12428937,12734021
13,65-69,8219423,9608759
14,70-74,5072920,6814641
15,75-79,2534198,3718490
16,80-84,1004082,1656947
17,85-89,262058,518765
18,90-94,37128,103070
19,95-99,2930,10721
20,100+,109,651
