,Age,M,F
0,0-4,53900674,50640290
1,5-9,51732174,48703655
2,10-14,64612633,61006270
3,15-19,66883278,64166327
4,20-24,55098392,52194814
5,25-29,45164605,42711781
6,30-34,46781639,44360065
7,35-39,33122696,31301927
8,40-44,26363382,23622993
9,45-49,25143913,22048021
10,50-54,22880355,20474136
11,55-59,19049306,17027677
12,60-64,14976729,14508497
13,65-69,12269120,12560296
14,70-74,7883942,9209482
15,75-79,3918036,5509322
16,80-84,1570911,2701209
17,85-89,402897,815626
18,90-94,74438,168629
19,95-99,7205,19929
20,100+,360,1731
