,Age,M,F
0,0-4,45106267,39934767
1,5-9,46319087,40225712
2,10-14,45044032,38648113
3,15-19,44286173,38535391
4,20-24,46956410,41620012
5,25-29,54633535,49681080
6,30-34,65544747,61670474
7,35-39,49370823,46920301
8,40-44,51155493,48766184
9,45-49,62836913,60442592
10,50-54,60946291,59710325
11,55-59,47588180,46379016
12,60-64,38607054,38368062
13,65-69,35185041,36260434
14,70-74,19746314,21631501
15,75-79,11801212,13715744
16,80-84,6808650,9097473
17,85-89,2787103,4583542
18,90-94,748881,1525990
19,95-99,140322,386612
20,100+,11731,56108
