,Age,M,F
0,0-4,55643791,52089280
1,5-9,47750239,45017422
2,10-14,46721579,44147928
3,15-19,32447827,30297709
4,20-24,27388168,24172081
5,25-29,26838953,23398699
6,30-34,24776710,21872007
7,35-39,21570828,18834377
8,40-44,18907846,17374149
9,45-49,17864125,16585290
10,50-54,14518278,14326362
11,55-59,11031003,11842849
12,60-64,8386883,9573188
13,65-69,5402856,6417863
14,70-74,3242135,4401534
15,75-79,1364677,2290389
16,80-84,434018,970271
17,85-89,73977,210569
18,90-94,14332,45712
19,95-99,1613,6757
20,100+,56,272
