,Age,M,F
0,0-4,46006642,40530138
1,5-9,46027934,39615335
2,10-14,44435788,38278251
3,15-19,45245050,39674872
4,20-24,48231103,42967472
5,25-29,62942093,58251998
6,30-34,58543718,55315637
7,35-39,48027411,45671653
8,40-44,56789269,54123804
9,45-49,64358378,62418862
10,50-54,56426920,54934192
11,55-59,43269336,42094769
12,60-64,40005282,39829614
13,65-69,30227615,31195916
14,70-74,17726374,19004199
15,75-79,11413408,13121629
16,80-84,6421818,8621044
17,85-89,2556401,4152318
18,90-94,677292,1379322
19,95-99,120988,333852
20,100+,9560,44537
