,Age,M,F
0,0-4,58742502,55034414
1,5-9,46558428,43857395
2,10-14,48346691,45682614
3,15-19,34564179,32525977
4,20-24,27797078,24777308
5,25-29,26932384,23437016
6,30-34,25204786,22263408
7,35-39,22133600,19215121
8,40-44,19042264,17407364
9,45-49,18035992,16710177
10,50-54,14930514,14647568
11,55-59,11227480,12043877
12,60-64,8484415,9820930
13,65-69,5440387,6534224
14,70-74,3197261,4399867
15,75-79,1321272,2273823
16,80-84,394604,920368
17,85-89,64797,200106
18,90-94,9687,33936
19,95-99,905,3909
20,100+,57,285
