,Age,M,F
0,0-4,70505837,67487669
1,5-9,58667104,55536741
2,10-14,46779518,44132960
3,15-19,48299888,45684393
4,20-24,36667002,34696867
5,25-29,27978219,25260384
6,30-34,26397810,23021626
7,35-39,24951737,22039250
8,40-44,21960726,19110126
9,45-49,18496302,16851181
10,50-54,17044841,15886268
11,55-59,14042933,13856989
12,60-64,9992893,11021029
13,65-69,6851851,8515047
14,70-74,4014801,5353239
15,75-79,2016551,3017023
16,80-84,709963,1272921
17,85-89,159064,387050
18,90-94,18531,65013
19,95-99,1595,6206
20,100+,81,479
