,Age,M,F
0,0-4,53298270,50095382
1,5-9,34904238,32229862
2,10-14,29086163,25420334
3,15-19,28567031,24731168
4,20-24,26517641,23418707
5,25-29,23314628,20486223
6,30-34,20887615,19173849
7,35-39,20517123,18606148
8,40-44,17765645,16482751
9,45-49,14927027,14314424
10,50-54,13077273,12697100
11,55-59,10320268,10126404
12,60-64,8279279,8783492
13,65-69,5477208,6400682
14,70-74,3287293,4516718
15,75-79,1311813,2158029
16,80-84,492149,943534
17,85-89,97300,276055
18,90-94,13367,40614
19,95-99,1953,7004
20,100+,98,454
