,Age,M,F
0,0-4,46296911,40970856
1,5-9,68959698,64088028
2,10-14,56197360,52893087
3,15-19,50315992,47492503
4,20-24,61954322,58533992
5,25-29,67181416,64553766
6,30-34,57165485,54488142
7,35-39,45455972,43134555
8,40-44,46529148,44341164
9,45-49,34831472,33313139
10,50-54,25950589,23838063
11,55-59,23475718,21112400
12,60-64,20596863,19198673
13,65-69,15800441,15186211
14,70-74,10559135,11379616
15,75-79,6682676,8163406
16,80-84,3106754,4542912
17,85-89,917490,1728507
18,90-94,171738,440443
19,95-99,19706,61618
20,100+,1211,5000
