,Age,M,F
0,0-4,52950487,47584433
1,5-9,68195956,63594495
2,10-14,53099620,50022703
3,15-19,51260474,48364665
4,20-24,63959915,60522795
5,25-29,66056380,63533613
6,30-34,54300413,51584925
7,35-39,44398559,42127194
8,40-44,45779667,43621615
9,45-49,32142267,30596097
10,50-54,25186686,22844000
11,55-59,23318159,20933188
12,60-64,20157378,18787101
13,65-69,15297697,14660518
14,70-74,10265854,11167962
15,75-79,6539322,8021081
16,80-84,2837669,4295319
17,85-89,781806,1545173
18,90-94,142279,373665
19,95-99,15170,48610
20,100+,1107,4522
