,Age,M,F
0,0-4,46513426,40203923
1,5-9,44704119,38428335
2,10-14,44859066,39172307
3,15-19,47757367,42417498
4,20-24,59064779,54148012
5,25-29,63015582,59341749
6,30-34,48605353,46123731
7,35-39,54234310,51554680
8,40-44,64651157,62194383
9,45-49,59971775,58226423
10,50-54,46684168,44924192
11,55-59,41409393,40331277
12,60-64,36383867,36161455
13,65-69,22319217,22609852
14,70-74,15842605,16322781
15,75-79,10803661,12398307
16,80-84,5530126,7511678
17,85-89,2051348,3291394
18,90-94,563435,1133918
19,95-99,111808,278180
20,100+,6053,26645
