,Age,M,F
0,0-4,49131459,46183209
1,5-9,51287815,48334925
2,10-14,41069021,38761367
3,15-19,30056234,27366217
4,20-24,27628701,24087253
5,25-29,26692928,23499783
6,30-34,24068400,21031174
7,35-39,20717964,18525177
8,40-44,19333585,17692188
9,45-49,17442494,16305908
10,50-54,13899476,13830162
11,55-59,11071621,11812341
12,60-64,8170832,9039801
13,65-69,5541573,6536856
14,70-74,3225761,4332911
15,75-79,1392575,2359161
16,80-84,411890,920702
17,85-89,69527,206693
18,90-94,13134,44385
19,95-99,1328,5790
20,100+,58,275
