,Age,M,F
0,0-4,46105573,39561974
1,5-9,44291269,38270223
2,10-14,46038234,40520394
3,15-19,49851344,44609458
4,20-24,66286274,61696029
5,25-29,54956452,51926022
6,30-34,48896237,46407316
7,35-39,60125561,57201638
8,40-44,64970371,62954207
9,45-49,54887944,52847522
10,50-54,43111682,41448175
11,55-59,42973882,41825099
12,60-64,30641029,30406640
13,65-69,20733515,20422440
14,70-74,15766638,16069847
15,75-79,10248574,11924858
16,80-84,5037301,6816389
17,85-89,1842063,3012849
18,90-94,498173,1020120
19,95-99,73026,195569
20,100+,4846,20876
