,Age,M,F
0,0-4,47124480,41568117
1,5-9,52529087,47273938
2,10-14,67972329,63443077
3,15-19,52908190,49887010
4,20-24,50992051,48167365
5,25-29,63568363,60244382
6,30-34,65592255,63202883
7,35-39,53845215,51265265
8,40-44,43903890,41786171
9,45-49,45058543,43122864
10,50-54,31312992,30052659
11,55-59,24071552,22197439
12,60-64,21644604,19905628
13,65-69,17699639,17246936
14,70-74,12096530,12628008
15,75-79,6892664,8565201
16,80-84,3564130,5136797
17,85-89,1168239,2062956
18,90-94,216421,516597
19,95-99,24899,82453
20,100+,1683,7263
